Tool Name,Category,Pricing,Affiliate URL
Pipedrive,Sales & CRM,Starting at $14/user/mo,https://pipedrive.com
Framer,Design & Graphics,Starting at $10/mo,https://framer.com
Monday.com,Workflow Automation,Varies by plan,https://monday.com
CartStack,Email & Outreach,Contact for pricing,https://www.cartstack.com/
Cloudways,Coding & Dev Tools,Starting at $14/mo,https://www.cloudways.com/
FeatureShark,Productivity & SaaS,Check website for pricing details,https://featureshark.com/
ClickUp,Workflow Automation,Starting at $5/user/month,https://clickup.com/
Getgabs,Chatbots & Support,Check website for pricing details,https://getgabs.com/
eProfessor,Productivity & SaaS,Starting at $29/mo,https://eprofessor.com
DocsBot,Chatbots & Support,Starting at $49/mo,https://docsbot.ai
Surfeo,Chatbots & Support,Starting at $99/mo,https://surfeo.ai
Dub,Video & Shorts Gen,Starting at $10/mo,https://dub.co
HelpDesk,Chatbots & Support,Starting at $29/agent/mo,https://helpdesk.com
HappyScribe,Productivity & SaaS,Starting at $10/hr,https://happyscribe.com
Pickaxe,Coding & Dev Tools,Starting at $39/mo,https://pickaxe.ai
AI Video Cut,Video & Shorts Gen,Starting at $15/mo,https://aivideocut.com
Tagshop AI,Video & Shorts Gen,Starting at $49/mo,https://tagshop.ai
Text,Chatbots & Support,Starting at $39/mo,https://text.com
Typedesk,Productivity & SaaS,Starting at $10/user/mo,https://typedesk.com
ChatBot,Chatbots & Support,Starting at $50/mo,https://chatbot.com
Gojiberry,Sales & CRM,Starting at $79/mo,https://gojiberry.ai
BidX,Image & Photo AI,Starting at $199/mo,https://bidx.com
Tidio,Chatbots & Support,"Offers a free plan, paid plans vary",https://www.tidio.com/
Catalister,Design & Graphics,Varies by membership,https://catalister.com/
Bookyourdata,Productivity & SaaS,Pay-as-you-go model,https://bookyourdata.com/
MindStudio,Coding & Dev Tools,Varies by workspace subscription,https://www.mindstudio.ai/
Manychat,Chatbots & Support,Varies by plan,https://manychat.com/
Synthflow AI,Voice & Speech AI,Varies by paid referral plan,https://synthflow.ai/
CustomGPT.ai,Chatbots & Support,Subscription plans available,https://customgpt.ai
Databox,Productivity & SaaS,Starting at $72/mo (billed annually),https://databox.com
Fathom,Sales & CRM,"Free plan available, paid starts at $24/user/mo",https://fathom.video
Taskip,Workflow Automation,Starting at $49/mo,https://taskip.net
Gumloop,Coding & Dev Tools,Starting at $99/mo,https://gumloop.com
Teknikforce,Workflow Automation,Various plans available across a suite of products,https://www.teknikforce.com
hide.me,Productivity & SaaS,Starting at $9.95/mo,https://hide.me/
Snov.io,Sales & CRM,Starting at $39/mo,https://snov.io
Claap,Video & Shorts Gen,Starting at $10/mo,https://www.claap.ai
CloudTalk,Workflow Automation,Starting at $25/mo,https://www.cloudtalk.io
Seamless,Sales & CRM,Custom pricing (B2B),https://www.seamless.ai/
FlowGent AI,Workflow Automation,Not specified,https://flowgent.ai/affiliate
Activepieces,Workflow Automation,Budget-friendly,https://www.activepieces.com/affiliate
MarketingBlocks,Workflow Automation,Check website for details.,https://marketingblocks.ai/affiliates/
Google Workspace,Creator & Productivity,"Per-user pricing, starting at $6/month.",https://workspace.google.com/
Chatbase,Workflow Automation,Varies,https://www.chatbase.com/
Synthflow,Workflow Automation,Varies,https://www.synthflow.ai/
